HSTR_MNNMB,ETC_PCMTT,임도명,시설거리(km),개설연도,FRRD_FCLTW,FRRD_DV_I,FRRD_DV_B,FRRD_INSTT,FRRD_MGC,FRRD_RGSNO,RBP_X,RBP_Y,REP_X,REP_Y,MAP_LABEL,FR_TH_DV,FR_TH_YR,FRRD_THM,Shape_Leng,지역,위도,경도,상세주소,읍면동
0.0,,96병지방,4.7,1996,4.0,1,1,61,1400441,북부_홍천_1996_02,1051916.072,1954933.7709,1049169.9173,1954970.6177,96홍천_02,,,,5507.99169991,강원특별자치도,37.59234351432835,128.0880741342067,"어답산로, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
0.0,,97병지방,3.96,1997,4.0,1,1,61,1400441,북부_홍천_1997_01,1053708.2611,1954818.8632,1051916.072,1954933.7709,97홍천_01,,,,2751.47474187,강원특별자치도,37.59120496021955,128.10836551557566,"율동리, 갑천면, 횡성군, 강원특별자치도, 25258, 대한민국",갑천면
0.0,,24율동,2.0,2024,4.5,1,3,61,1400441,북부_홍천_2024_04,1052986.4459,1954337.0516,1052304.56265,1953183.23855,24홍천_04,,,,2147.30624256,강원특별자치도,37.58690423312062,128.1001548961375,"율동리, 갑천면, 횡성군, 강원특별자치도, 25258, 대한민국",갑천면
0.0,,90율동,5.5,1990,4.0,1,1,61,1400441,북부_홍천_1990_03,1053443.5685,1953492.2301,1052535.2828,1955808.2902,90홍천_03,,,,5500.66079529,강원특별자치도,37.57926338881463,128.10527061283702,"율동리, 갑천면, 횡성군, 강원특별자치도, 25258, 대한민국",갑천면
0.0,,86병지방,6.58,1986,4.0,1,1,61,1400441,북부_홍천_1986_02,1051670.1493,1955921.6785,1051856.5889,1961499.4481,86홍천_02,,,,6562.75400444,강원특별자치도,37.60126141791317,128.0853583525068,"어답산로, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
0.0,,14병지방,2.08,2014,3.5,1,2,61,1400441,북부_홍천_2014_06,1048543.0087,1957620.9248,1048027.3738,1956882.0525,14홍천_06,,,,2038.79744264,강원특별자치도,37.616747253214186,128.05004607385803,"병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
0.0,,06병지방,1.5,2006,4.0,1,1,61,1400441,북부_홍천_2006_01,1048885.6718,1956301.2351,1048543.0087,1957620.9248,06홍천_01,,,,1520.32452557,강원특별자치도,37.60483462935226,128.05384044608175,"병지방서길, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
0.0,,16병지방,2.1,2016,4.0,1,1,61,1400441,북부-홍천-2016-03,1050127.3278,1960066.7149,1051305.7796,1959619.0386,16홍천_03,,,,2121.6850763,강원특별자치도,37.63870618386065,128.06816514987565,"병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
0.0,,17병지방,3.81,2017,4.0,1,1,61,1400441,북부-홍천-2017-04,1049866.2929,1959296.4515,1050127.3278,1960066.7149,17홍천_04,,,,3848.24113843,강원특별자치도,37.63177799514461,128.06515401346482,"병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
0.0,상안-병지방,10상안-병지방,2.4,2010,3.0,1,2,61,1400441,북부_홍천_2010_03,1049569.3279,1957477.1725,1049866.2929,1959296.4515,10홍천_03,,,,2160.34259901,강원특별자치도,37.61539682743181,128.0616651545208,"병지방서길, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
0.0,,17삽교,0.58,2017,4.0,1,1,61,1400441,북부-홍천-2017-08,1068043.6005,1945746.7,1068485.921,1945872.2141,17홍천_08,,,,579.968224006,강원특별자치도,37.508491012808605,128.26989156243926,"자포곡리, 둔내면, 횡성군, 강원특별자치도, 25261, 대한민국",둔내면
0.0,,18삽교,1.82,2018,4.0,1,1,61,1400441,북부-홍천-2018-06,1067133.1683,1945310.0957,1068043.6005,1945746.7,18홍천_06,,,,1702.78774351,강원특별자치도,37.50462264802637,128.25955127594537,"자포곡리, 둔내면, 횡성군, 강원특별자치도, 25261, 대한민국",둔내면
0.0,,10하오안,2.62,2010,3.0,1,2,61,1400441,북부_홍천_2010_06,1030019.4645,1962485.7179,1031405.1943,1962617.8847,10홍천_06,,,,2491.66062774,강원특별자치도,37.66138674730272,127.84035820655275,"설악로, 하오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
0.0,,17하오안,3.98,2017,3.5,1,2,61,1400441,북부-홍천-2017-05,1031405.1943,1962617.8847,1032593.5822,1963670.1662,17홍천_05,,,,3699.55333305,강원특별자치도,37.662531619550236,127.8560749143158,"하오안리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
0.0,,23산수1,2.0,2023,4.5,1,3,61,1400438,북부_춘천_2023_02,1013694.08561,1969790.42111,1012824.50429,1969299.65773,23춘천_02,,,,1917.51295868,강원특별자치도,37.727615342826766,127.65540075662528,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
