지역,임도명,시설거리(km),개설연도,위도,경도,상세주소,읍면동
강원특별자치도,두산,2.0,2023,37.28022741687263,128.16795192173282,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,두산,2.0,2024,37.28022741687263,128.16795192173282,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,두산,2.05,2024,37.28578591516738,128.15803610284593,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,내리,4.0,1989,37.03706070992048,128.76232490715392,"우구치리, 춘양면, 봉화군, 경상북도, 대한민국",춘양면
강원특별자치도,와석,3.5,2013,37.07108330147861,128.6525071585865,"김삿갓면, 영월군, 강원특별자치도, 대한민국",김삿갓면
강원특별자치도,내리,2.0,2014,37.08814640937152,128.65967446007025,"외룡리, 김삿갓면, 영월군, 강원특별자치도, 26247, 대한민국",김삿갓면
강원특별자치도,두산,1.5,2005,37.29543828482772,128.12894936943445,"두산리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,두산,1.54,2006,37.29717332771937,128.12313990308405,"무릉도원면, 영월군, 강원특별자치도, 대한민국",무릉도원면
강원특별자치도,두산,1.04,2008,37.304366067606416,128.12498656087214,"무릉도원면, 영월군, 강원특별자치도, 대한민국",무릉도원면
강원특별자치도,두산,1.6,2007,37.3092484877228,128.1219874858891,"무릉도원면, 영월군, 강원특별자치도, 대한민국",무릉도원면
강원특별자치도,두산,0.6,2006,37.31671359953141,128.12055628862876,"무릉도원면, 영월군, 강원특별자치도, 대한민국",무릉도원면
강원특별자치도,두산,1.3,2003,37.31734192655216,128.12438956781955,"무릉도원면, 영월군, 강원특별자치도, 대한민국",무릉도원면
강원특별자치도,두산,1.0,1999,37.319597340709294,128.12817562149996,"혜운사, 태종로, 강림리, 강림면, 횡성군, 강원특별자치도, 25273, 대한민국",강림면
강원특별자치도,두산,2.02,1998,37.32414269861573,128.12610324483234,"무릉도원면, 영월군, 강원특별자치도, 대한민국",무릉도원면
강원특별자치도,두산,2.0,2023,37.324478429383575,128.13234060005956,"혜운사, 태종로, 강림리, 강림면, 횡성군, 강원특별자치도, 25272, 대한민국",강림면
강원특별자치도,법흥,2.93,2012,37.34339474397608,128.25379232125633,"법흥리, 무릉도원면, 영월군, 강원특별자치도, 26201, 대한민국",무릉도원면
강원특별자치도,법흥,4.0,2011,37.33003399025117,128.24827846406058,"도원리, 무릉도원면, 영월군, 강원특별자치도, 26201, 대한민국",무릉도원면
강원특별자치도,법흥,1.1,1975,37.32784045146239,128.25960552361968,"무릉법흥로, 법흥리, 무릉도원면, 영월군, 강원특별자치도, 26201, 대한민국",무릉도원면
강원특별자치도,와석,2.91,2008,37.07108330147861,128.6525071585865,"김삿갓면, 영월군, 강원특별자치도, 대한민국",김삿갓면
강원특별자치도,와석,2.3,2023,37.07105781532098,128.65239812046366,"김삿갓면, 영월군, 강원특별자치도, 대한민국",김삿갓면
강원특별자치도,삿갓봉,0.5,2012,37.374886154456846,128.21899823368398,"운학리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,삿갓봉,2.2,2012,37.37922738160224,128.21502984859367,"운학리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,삿갓봉,3.1,1975,37.37922738160224,128.21502984859367,"운학리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,운학,2.29,2019,37.38115199838589,128.19102733643672,"도원운학로, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
강원특별자치도,삿갓봉,2.0,2021,37.385663825507976,128.20893265426855,"운학리, 무릉도원면, 영월군, 강원특별자치도, 26200, 대한민국",무릉도원면
