amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm,가까운_지점,가까운_기상지점명,기상지점거리_km,지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일시_dt,지점_clean,지점주소_x,시작일,종료일,지점주소_y,위도,경도
18142.0,43,6021,1531,43800310,2,충청북도 단양군 대강면 황정산로 545-15 (주택),0,26,43800,2023,26,128.34998,36.86689,충청북도 단양군 대강면 황정리 336,입산자실화추정,일요일,2.0,2023-02-26,2023,1327,838,동로,11.037007479851592,838.0,동로,2023-02-26,1.2,0.0,2.3,2023-02-26,동로,경상북도 문경시 동로면 생달리,2021-10-15,2099-12-31,경상북도 문경시 동로면 생달리,36.7907,128.2705
3918.0,43,6020,740,43770330,4,-,0,24,43770,2023,24,127.55785,36.90052,충청북도 음성군 맹동면 통동리 산 56-20,입산자실화추정,월요일,4.0,2023-04-24,2023,622,600,금왕,8.61556185608218,600.0,금왕,2023-04-24,13.9,0.0,1.9,2023-04-24,금왕,충청북도 음성군 금왕읍 용계리,2017-08-25,2023-11-01,충청북도 음성군 금왕읍 용계리,36.9737,127.5897
31629.0,43,6019,1543,43760360,3,-,1,11,43760,2023,11,127.73552,36.74677,충청북도 괴산군 청천면 지경리 산 29,재처리부주의,토요일,3.0,2023-03-11,2023,1133,603,괴산,8.571777958684807,603.0,괴산,2023-03-11,12.8,0.0,1.2,2023-03-11,괴산,충청북도 괴산군 괴산읍 서부리,2021-08-07,2099-12-31,충청북도 괴산군 괴산읍 서부리,36.8161,127.7776
4894.0,43,6018,2030,43750320,3,-,0,19,43750,2023,19,127.55557,36.81796,충청북도 진천군 초평면 용정리 산 30-26,입산자실화추정,일요일,3.0,2023-03-19,2023,1800,623,증평,2.5513700637603773,623.0,증평,2023-03-19,6.7,0.0,1.0,2023-03-19,증평,충청북도 증평군 증평읍 연탄리,2010-07-30,2099-12-31,충청북도 증평군 증평읍 연탄리,36.7956,127.562
696447.0,43,6017,1900,43740400,3,-,15,18,43740,2023,18,127.69926,36.19454,충청북도 영동군 심천면 금정리 산 53-1,입산자실화추정,토요일,3.0,2023-03-18,2023,1408,605,영동,6.307196990098028,605.0,영동,2023-03-18,8.0,0.0,1.2,2023-03-18,영동,충청북도 영동군 양강면 가동리,2022-11-23,2023-10-13,충청북도 영동군 양강면 가동리,36.16,127.755
3955.0,43,6016,1608,43740380,5,-,0,4,43740,2023,4,127.65777,36.0557,충청북도 영동군 학산면 봉소리 산 138,입산자실화추정,목요일,5.0,2023-05-04,2023,1507,701,무주,5.887525315674823,701.0,무주,2023-05-04,18.0,0.0,1.9,2023-05-04,무주,전북특별자치도 무주군 무주읍 당산리,2020-08-14,2024-09-24,전북특별자치도 무주군 무주읍 당산리,36.0017,127.6684
1005.0,43,6015,1350,43740250,11,-,0,8,43740,2023,8,127.81186,36.16282,충청북도 영동군 영동읍 화신리 산 31-4,입산자실화추정,수요일,11.0,2023-11-08,2023,1308,605,영동,4.673651106469413,605.0,영동,2023-11-08,5.6,0.0,0.7,2023-11-08,영동,충청북도 영동군 양강면 가동리,2023-10-13,2099-12-31,충청북도 영동군 양강면 가동리,36.16,127.755
542.0,43,6014,1110,43740250,4,-,0,13,43740,2023,13,127.86302,36.18128,충청북도 영동군 영동읍 가리 산 31,담뱃불실화,목요일,4.0,2023-04-13,2023,1022,605,영동,9.48317667091171,605.0,영동,2023-04-13,11.7,0.0,1.2,2023-04-13,영동,충청북도 영동군 양강면 가동리,2022-11-23,2023-10-13,충청북도 영동군 양강면 가동리,36.16,127.755
7023724.0,43,6013,1800,43730380,4,-,85,3,43730,2023,2,127.55562,36.37775,충청북도 옥천군 군북면 이평리 548,담뱃불실화추정,일요일,4.0,2023-04-02,2023,1123,643,세천,6.933899698920243,643.0,세천,2023-04-02,14.7,0.0,1.9,2023-04-02,세천,대전광역시 동구 세천동,2021-07-24,2099-12-31,대전광역시 동구 세천동,36.3402,127.4938
38550.0,43,6012,1800,43730340,3,-,1,18,43730,2023,18,127.75243,36.29039,충청북도 옥천군 청성면 조천리 1052,쓰레기소각,토요일,3.0,2023-03-18,2023,1434,626,옥천청산,9.312133518199385,626.0,옥천청산,2023-03-18,7.5,0.0,1.0,2023-03-18,옥천청산,충청북도 옥천군 청산면 예곡리,2020-10-13,2024-12-04,충청북도 옥천군 청산면 대성리,36.3705,127.8154
