amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm
339,45,3546,1330,45710390,01,,0,22,45710,2019,22,14160800.92,4303855.418,전라북도 완주군 화산면 와룡리 산63,쓰레기 소각,화요일,01,20190122,2019,1212
301,30,3545,1620,30230106,01,,0,21,30230,2019,21,14185737.82,4355881.343,대전광역시 대덕구 와동 산51,성묘객 실화(조화소각),월요일,01,20190121,2019,1550
1728,46,3544,1659,46150310,01,,0,21,46150,2019,21,14200838.42,4152795.787,전라남도 순천시 해룡면 신성리 산43-14,농산폐기물 소각,월요일,01,20190121,2019,1524
617,30,3543,1340,30140120,01,,0,21,30140,2019,21,14182158.56,4338843.159,대전광역시 중구 무수동 산28,원인미상,월요일,01,20190121,2019,1304
11484,26,3542,1100,26260108,01,,0,21,26260,2019,21,14368913.04,4193907.855,부산광역시 동래구 온천동 산131-1,입산자 실화,월요일,01,20190121,2019,0224
692,26,3541,1600,26710250,01,,0,20,26710,2019,20,14380482.7,4193197.803,부산광역시 기장군 기장읍 내리 산100-1,원인미상,일요일,01,20190120,2019,1254
47896,42,3540,1500,42110350,01,,1,20,42110,2019,20,14213729.33,4563742.129,강원도 춘천시 서면 현암리 산13,(화목)보일러 재처리 부주의,일요일,01,20190120,2019,1230
923,42,3539,2345,42150320,01,,0,19,42150,2019,19,14344467.95,4529765.802,강원도 강릉시 왕산면 목계리 산17-1,(화목)보일러 재화재,토요일,01,20190119,2019,2240
13911,47,3538,1450,47760330,01,,0,19,47760,2019,19,14369233.53,4404539.079,경상북도 영양군 일월면 도곡리 산270,논밭두렁 소각,토요일,01,20190119,2019,1219
307,43,3537,1636,43150250,01,,0,18,43150,2019,18,14265604.99,4461849.209,충청북도 제천시 봉양읍 명도리 산23-8,농업부산물 소각,금요일,01,20190118,2019,1602
300,43,3536,1310,43130420,01,,0,18,43130,2019,18,14240298.06,4460044.047,충청북도 제천시 봉양읍 명도리 산23-8,농업부산물 소각,금요일,01,20190118,2019,1242
882,31,3535,1820,31170102,01,,0,17,31170,2019,17,14406075.72,4233758.198,울산광역시 동구 화정동 산36,입산자 실화,목요일,01,20190117,2019,1615
1506,44,3534,1630,44133310,01,,0,17,44133,2019,17,14163976.86,4426036.71,충청남도 천안시 서북구 홍천리 산12-1,농산폐기물 소각,목요일,01,20190117,2019,1510
9692,26,3533,0355,26530104,01,,0,17,26530,2019,17,14359468.47,4185935.986,부산광역시 사상구 괘법동 산13-2,원인미상,목요일,01,20190117,2019,0115
451,48,3532,2330,48170430,01,,0,16,48170,2019,16,14262409.9,4200888.707,경상남도 진주시 미천면 반지리 산4-8,비닐하우스 화재,수요일,01,20190116,2019,2115
1006,46,3531,1730,46810320,01,,0,16,46810,2019,16,14115250.43,4110704.907,전라남도 강진군 칠량면 송로리 산26-1,원인미상,수요일,01,20190116,2019,1506
632,26,3530,2135,26350103,01,,0,15,26350,2019,15,14375264.04,4192038.056,부산광역시 해운대구 반여동 산95,담뱃불 추정,화요일,01,20190115,2019,2055
4392,46,3529,1455,46780340,01,,0,15,46780,2019,15,14160288.18,4149716.751,부산광역시 해운대구 반여동 산95,담뱃불 추정,화요일,01,20190115,2019,1305
5716,41,3528,0153,41450103,01,,0,15,41450,2019,15,14164152.19,4512935.407,경기도 하남시 창우동 산26-1,원인미상,화요일,01,20190115,2019,0046
15352,36,3527,1640,36110320,01,,0,12,36110,2019,12,14176939.24,4372919.844,세종특별자치시 연동면 합강리 500-12,쓰레기 소각,토요일,01,20190112,2019,1453
16240,48,3526,1800,48890430,01,,0,10,48890,2019,10,14262836.81,4223659.56,경상남도 합천군 삼가면 하판리 산113,입산자 실화,목요일,01,20190110,2019,1445
10973,47,3525,1715,47920330,01,,0,10,47920,2019,10,14353339.89,4429647.181,경상북도 봉화군 법전면 리 산187,연탄재 투기,목요일,01,20190110,2019,1420
11188,42,3524,1205,42820330,01,,0,10,42820,2019,10,14305380.89,4621407.614,강원도 고성군 토성면 운봉리 522-2,재 투기,목요일,01,20190110,2019,1117
21871,46,3523,1545,46900360,01,,1,10,46900,2019,10,14028632.73,4075553.249,전라남도 진도군 조도면 옥도리 산56외,쓰레기 소각,목요일,01,20190110,2019,1018
3522,41,3522,1830,41500340,01,,0,09,41500,2019,09,14177960.71,4478942.593,경기도 이천시 마장면 관리 산15-1,등산객 실화추정,수요일,01,20190109,2019,1600
4629,28,3521,1630,28260105,01,,0,09,28260,2019,09,14104987.22,4516306.453,인천광역시 서구 공촌동 산1-4,원인미상,수요일,01,20190109,2019,1520
6295,47,3520,1615,47210310,01,,0,09,47210,2019,09,14322993.42,4408996.058,경상북도 영주시 이산면 신천리 산290-3,입산자 실화추정,수요일,01,20190109,2019,1335
598,41,3519,1159,41480320,01,,0,09,41480,2019,09,14106315.7,4549809.227,경기도 파주시 탄현면 법흥리 9-3,난로재 실화,수요일,01,20190109,2019,1100
12991,47,3518,0741,47113120,01,,0,09,47113,2019,09,14402252.11,4309266.688,경기도 이천시 마장면 관리 산15-1,등산객 실화추정,수요일,01,20190109,2019,0507
380,43,3517,2320,43740335,01,,0,08,43740,2019,08,14248471.47,4337484.759,경상남도 진주시 명석면 외율리 산150,주택 내 쓰레기 소각,화요일,01,20190108,2019,2208
22749,41,3516,2155,41830330,01,,1,08,41830,2019,08,14174083.78,4516941.559,경기도 양평군 양서면 양수리 357-1,전원주택 공사간 드럼통 난로 발화,화요일,01,20190108,2019,2021
508,43,3514,1637,43760370,01,,0,08,43760,2019,08,14215379.64,4400253.949,경상남도 진주시 명석면 외율리 산150,주택 내 쓰레기 소각,화요일,01,20190108,2019,1439
8660,43,3513,2100,43750340,01,,0,07,43750,2019,07,14176868.44,4431441.735,충청북도 진천군 백곡면 성대리 산14,원인미상,월요일,01,20190107,2019,1905
