발생연도,발생일자,발생시간,진화시간_분,주소,시군구,발생원인,피해면적,대형산불여부,평균기온(°C),일강수량(mm),평균 풍속(m/s),기상데이터_출처
2020,20200322,1251,49.0,경기도 화성시 남양읍 남양리 103-1,화성시,담뱃불실화,0,False,8.0,0.0,4.2,경기도 화성시 서신면 백미리
2020,20200322,1230,300.0,전라북도 정읍시 산외면 동곡리 산103-3,정읍시,담뱃불실화,0,False,10.7,0.0,2.45,전북특별자치도 정읍시 태인면 태창리
2020,20200322,1210,90.0,경상북도 봉화군 춘양면 석현리 산166,봉화군,쓰레기소각,0,False,6.6,0.0,1.5,(산지)경상북도 봉화군 석포면 대현리
2020,20200322,1138,82.0,경기도 여주시 강천면 가야리 산18-4,여주시,쓰레기소각,0,False,12.0,0.0,2.3,경기도 여주시
2020,20200321,1636,104.0,충청남도 당진시 고대면 옥현리 175-8,당진시,입산자실화,0,False,12.5,0.0,2.7,충청남도 당진시 채운동
2020,20200321,1603,112.0,경기도 포천시 관인면 사정리 산480,포천시,입산자실화,0,False,11.0,0.7,1.52,경기도 포천시 자작동
2020,20200321,1536,24.0,강원도 횡성군 갑천면 삼거리 산71,횡성군,화목보일러불씨,0,False,8.85,1.0,1.2,강원특별자치도 횡성군 횡성읍 읍하리
2020,20200321,1408,142.0,울산광역시 울주군 상북면 덕현리 산1040-2,울주군,입산자실화,0,False,14.65,0.0,4.6,울산광역시 울주군 삼동면 금곡리
2020,20200321,1324,36.0,경기도 양평군 용문면 연수리 산132-3,양평군,소각재투기,0,False,10.366666666666667,0.0,1.1,경기도 양평군 용문면 중원리
2020,20200321,1300,210.0,경기도 안성시 대덕면 소내리 산8-1,안성시,쓰레기소각,0,False,12.25,0.0,2.05,경기도 안성시 공도읍 불당리
2020,20200321,1254,134.0,충청북도 단양군 단성면 회산리 산12,단양군,주택화재 전이,0,False,11.45,0.0,0.95,충청북도 단양군 단양읍 도담리
2020,20200321,1217,48.0,전라남도 여수시 오림동 산100,여수시,방화,0,False,13.85,0.0,1.9833333333333332,전라남도 여수시 남면 연도리
2020,20200321,1212,108.0,경기도 남양주시 퇴계원읍 퇴계원리 산4-11,남양주시,쓰레기소각,0,False,12.2,0.0,1.6,경기도 남양주시 진건읍 배양리
2020,20200321,1206,84.0,대전광역시 동구 상소동 산32-1,동구,주택화재(창고),0,False,12.3,0.0,1.1,대전광역시 동구 세천동
